hybas_id,next_down,selection_reason,sub_area_km2,up_area_km2,pfaf_id,order
4080697050,4080699170,upstream_next_down_chain,484.0,16245.7,43496839,3
4080697120,4080699170,upstream_next_down_chain,697.4,697.7,43496838,4
4080697140,4080701070,upstream_next_down_chain,263.7,263.7,43494468,5
4080697150,4080681060,upstream_next_down_chain,1264.9,9034.0,43468030,3
4080697280,4080701070,upstream_next_down_chain,728.6,728.6,43494469,4
4080697290,4080681060,upstream_next_down_chain,784.4,784.5,43468020,4
4080697670,4080708510,upstream_next_down_chain,255.8,255.8,43494584,4
4080697680,4080708510,upstream_next_down_chain,336.7,2843.4,43494585,3
4080697770,4080693110,upstream_next_down_chain,756.2,756.2,43430204,3
4080697940,4080698030,upstream_next_down_chain,1326.7,1326.7,43430206,3
4080698030,4080693110,upstream_next_down_chain,12.5,5198.4,43430205,2
4080698230,4080698030,upstream_next_down_chain,463.0,3859.3,43430207,2
4080698320,4080704900,upstream_next_down_chain,281.1,281.1,43496992,3
4080698330,4080704900,upstream_next_down_chain,931.9,6100.5,43496993,2
4080698340,4080705670,upstream_next_down_chain,385.7,385.7,43494288,5
4080698350,4080705670,upstream_next_down_chain,533.3,533.3,43494289,4
4080698510,4080698840,upstream_next_down_chain,1522.2,1522.2,43468080,4
4080698710,4080698840,upstream_next_down_chain,2210.5,2210.5,43468090,3
4080698840,4080699180,upstream_next_down_chain,34.8,3767.1,43468070,3
4080699090,4080699180,upstream_next_down_chain,900.2,900.4,43468060,4
4080699100,4080700190,upstream_next_down_chain,974.4,12415.8,43464050,3
4080699110,4080700190,upstream_next_down_chain,2347.6,8608.3,43464041,4
4080699170,4080699290,upstream_next_down_chain,114.8,17058.0,43496837,3
4080699180,4080697150,upstream_next_down_chain,185.7,4853.2,43468050,3
